SSID,BSSID,Capabilities,frequency
Hadleyville,6c:b0:ce:30:c5:68,[WPA2-PSK-CCMP][WPS][ESS],2457
Irene,e8:94:f6:41:89:04,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2452
MyCharterWiFi4b-2G,6c:b0:ce:a7:de:4b,[WPA2-PSK-CCMP][WPS][ESS],2412
ASUS_136,40:16:7e:f4:0d:70,[WPA2-PSK-CCMP][WPS][ESS],2462
WesternDigital-36_5G,00:90:a9:0a:52:38,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],5765
Tenda_2A32E0,c8:3a:35:2a:32:e0,[WPA-PSK-CCMP][ESS],2452
MyCharterWiFi7e-2G,08:bd:43:ba:50:7e,[WPA2-PSK-CCMP][ESS],2422
Uyen&An,00:90:a9:0a:52:36,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2437
MyCharterWiFi4b-5G,6c:b0:ce:a7:de:4a,[WPA2-PSK-CCMP][WPS][ESS],5765
ATT610,60:c3:97:ed:d1:8a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
NETGEAR80,c4:04:15:16:bf:fa,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.a28,ec:1a:59:0a:8a:28,[WPA2-PSK-CCMP][WPS][ESS],2462
Asia 001,20:aa:4b:80:c9:21,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2447
NETGEAR55,28:c6:8e:a6:02:4c,[WPA2-PSK-CCMP][WPS][ESS],2412
FlowerMan-guest,b4:75:0e:a6:ce:c5,[ESS],2412
Home-5G,6c:b0:ce:a7:de:8f,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi0f-5G,6c:b0:ce:a8:e8:0e,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi0f-2G,6c:b0:ce:a8:e8:0f,[WPA2-PSK-CCMP][WPS][ESS],2462
SilverBear,48:f8:b3:a3:1e:45,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],5240
NETGEAR77,04:a1:51:81:7f:2e,[WPA2-PSK-CCMP][ESS],2422
TACOCAT,6c:b0:ce:b4:55:98,[WPA2-PSK-CCMP][WPS][ESS],5765
2WIRE561,74:9d:dc:33:e3:59,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
MyCharterWiFibf-2G,6c:b0:ce:a2:d4:bf,[WPA2-PSK-CCMP][WPS][ESS],2462
Bosco,2c:b0:5d:df:61:5c,[WPA2-PSK-CCMP][WPS][ESS],2437
NETGEAR68,04:a1:51:2f:1e:7c,[WPA2-PSK-CCMP][WPS][ESS],2462
2WIRE040,28:16:2e:75:d6:91,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
belkin.baa.media,ec:1a:59:5c:fb:ac,[WPA2-PSK-CCMP][WPS][ESS],5220
ATT6q7t3p7,44:e1:37:a6:0a:80,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
ECCLESIASTES_3:11,94:62:69:3e:d9:00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
NETGEAR88,84:1b:5e:dc:da:bd,[WPA2-PSK-CCMP][WPS][ESS],2447
Pretty Fly for a Wifi,ec:1a:59:13:58:d8,[WPA2-PSK-CCMP][WPS][ESS],5180
wifi,4e:60:de:d8:4a:33,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
MyCharterWiFi1d-2G,c4:04:15:a1:3b:1d,[WPA2-PSK-CCMP][WPS][ESS],2452
Oreo,08:66:34:5c:78:f5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
eduroam,00:21:a1:9c:43:bd,[WPA2-EAP-CCMP][ESS],5180
ucrwpa,00:21:a1:9c:43:b1,[WPA2-EAP-CCMP][ESS],2462
roomies,4c:60:de:d8:4a:33,[WPA2-PSK-CCMP][WPS][ESS],2437
Shell Cottage,6c:b0:ce:a2:d4:1a,[WPA2-PSK-CCMP][WPS][ESS],2442
belkin.baa.guests,ec:1a:59:5c:fb:ad,[ESS],2417
Cisco2021,48:f8:b3:7c:3c:89,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2442
belkin.f62,08:86:3b:dc:cf:62,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.8db,ec:1a:59:8b:e8:db,[WPA2-PSK-CCMP][WPS][ESS],2462
belkin.baa_EXT,22:0c:c8:47:d8:2a,[WPA2-PSK-CCMP][WPS][ESS],2417
MyCharterWiFic1-2G,6c:b0:ce:b4:54:c1,[WPA2-PSK-CCMP][WPS][ESS],2412
Nanoo11,c8:b3:73:1b:3c:5f,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
SANTEROYCHEZ,84:1b:5e:d9:57:91,[WPA2-PSK-CCMP][WPS][ESS],2447
Plebs,48:f8:b3:97:d2:40,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2452
Plebs-guest,4e:f8:b3:97:d2:40,[ESS],2452
MyCharterWiFic0-2G,6c:b0:ce:a3:d7:c0,[WPA2-PSK-CCMP][WPS][ESS],2412
Archetype,c8:b3:73:39:59:a4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
FluffyBunnies,e8:94:f6:4b:b6:9e,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2447
belkin.43e,08:86:3b:a2:24:3e,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2427
SnS_Network_1,00:1c:f0:b8:7f:73,[WPA2-PSK-CCMP][WPS][ESS],2452
MyCharterWiFibc-2G,6c:b0:ce:a3:ba:bc,[WPA2-PSK-CCMP][WPS][ESS],2412
Spock-5G,28:c6:8e:0c:cd:d9,[WPA2-PSK-CCMP][WPS][ESS],5220
MyCharterWiFibc-5G,6c:b0:ce:a3:ba:bb,[WPA2-PSK-CCMP][WPS][ESS],5765
Hide yo kids hide your wifi,ec:1a:59:99:b1:ec,[WPA2-PSK-CCMP][WPS][ESS],2462
CWD Jobsite,06:18:0a:16:24:66,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
HPC63DD0,02:25:a5:62:ec:5d,[IBSS],2457
MATHIT,00:1b:2f:fd:8a:82,[WPA-PSK-TKIP][ESS],2452
CBSRG,00:19:5b:5f:f8:68,[WPA2-PSK-TKIP][ESS],2442
Highlander SB,b8:a3:86:5c:b8:99,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
kelliher's iMac,00:1c:b3:77:15:b1,[WEP][ESS],2462
Highlander,c8:d7:19:1f:95:f8,[WPA2-PSK-CCMP][WPS][ESS],2457
BearLogic,48:d7:05:ee:ac:26,[WPA2-PSK-CCMP][ESS],2412
IDMLab,c0:c1:c0:b1:d9:de,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
videoweb2,00:21:91:04:5d:c3,[WPA2-PSK-CCMP][WPS][ESS],5200
jbro,02:0b:6b:da:31:f3,[IBSS],2412
Linksys25003,b4:75:0e:ad:ec:d4,[WPS][ESS],2462
NEMO24,44:94:fc:90:98:a9,[WPA2-PSK-CCMP][WPS][ESS],2437
jpl jetson 69,10:a5:d0:f3:6e:51,[WPA2-PSK-CCMP][ESS],2437
HP00626B,8a:39:65:25:bb:e9,[IBSS],2412
LibraryGuest,f8:4f:57:67:b8:33,[ESS],2462
Humanoid,00:26:bb:74:d4:5a,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],5785
LDC_SAP_MIRANDA,14:2d:27:a5:e6:e7,[WPA2-PSK-CCMP][ESS],2412
City Year - Wi-Fi,a0:82:1f:b1:22:db,[WPA2-PSK-CCMP][ESS],2462
HPCP1525-02d3cf,02:29:09:49:77:48,[IBSS],2437
NEMO,44:94:fc:90:98:ab,[WPA2-PSK-CCMP][WPS][ESS],5220
videoweb1,00:21:91:04:51:7d,[WPA2-PSK-CCMP][WPS][ESS],5745
videoweb5,00:21:91:04:5c:e3,[WPA2-PSK-CCMP][WPS][ESS],5745
videoweb4,00:21:91:04:50:b9,[WPA2-PSK-CCMP][WPS][ESS],5745
Videoweb3DScanner,00:22:b0:b2:27:1e,[WPA2-PSK-TKIP][WPS][ESS],2432
LATTE-LAB,c8:d7:19:2d:00:1b,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2452
McKibben,c0:a0:bb:e6:7e:14,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
Robert's Wi-Fi Network,b8:c7:5d:06:75:63,[WPA2-PSK-CCMP][ESS],2437
Joel's Wi-Fi Network,88:1f:a1:37:3e:96,[WPA2-PSK-CCMP][ESS],2462
Green,00:14:d1:66:92:44,[WPS][WEP][ESS],2462
SETUP,66:2a:2f:53:7c:99,[IBSS],2462
DBoffice,00:25:9c:ef:56:cc,[WPA-PSK-TKIP][WPA2-PSK-CCMP-preauth][WPS][ESS],2437
"Hide yo kids, hide yo wifi",20:aa:4b:84:2f:b1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2462
dd-wrt,00:40:10:10:00:03,[ESS],2437
thedarcsage5ghz,c4:3d:c7:8e:da:cb,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5220
S179DPRL,00:18:f8:65:d3:8d,[WEP][ESS],2437
LeRochNet,90:72:40:1d:ba:82,[WPA2-PSK-CCMP][ESS],2437
Ring's Wi-Fi Network,20:c9:d0:1d:47:17,[WPA2-PSK-CCMP][ESS],2437
Sean Cutler's Network,80:ea:96:ef:0e:b7,[WPA2-PSK-CCMP][ESS],5180
Karen Smith's iMac,00:1c:b3:7b:1b:b6,[ESS],2462
HPCP1525-884369,02:27:b7:ef:24:ef,[IBSS],2437
HP-Print-ea-LaserJet 400 color,1c:3e:84:6f:cc:ea,[ESS],2437
NMG iMAC2,8c:2d:aa:57:d5:9d,[ESS],2412
Bill Nye the WiFi,b4:75:0e:82:f3:48,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
HP-Print-21-Officejet 4630,14:58:d0:ff:bd:21,[WPA2-PSK-CCMP][ESS],2437
Alvarez,08:60:6e:65:21:bc,[WPA2-PSK-CCMP][ESS],5180
NETGEAR62,44:94:fc:57:cb:c8,[WPA2-PSK-CCMP][WPS][ESS],2437
FREE WIFI :-),2c:be:08:ed:0a:b2,[ESS],2462
NETGEAR97-Guest,06:a1:51:b2:b6:0c,[WPA2-PSK-CCMP][ESS],2412
HP-Print-41-ENVY 4500 series,64:51:06:e8:f3:41,[WPA2-PSK-CCMP][ESS],2412
ATT845q9i9,a4:7a:a4:26:84:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
JustCallJesus,00:1a:70:88:9e:9a,[WEP][ESS],2437
barajas,00:22:6b:77:21:2a,[WPA-PSK-TKIP][WPS][ESS],2412
743west,20:aa:4b:cd:c5:4a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
U+NetAE03,00:40:5a:d3:ae:01,[WPA2-PSK-CCMP][ESS],2437
ATTQsMjcTA,78:96:84:0b:54:c0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2457
NETGEAR18,04:a1:51:a8:25:c0,[WPA2-PSK-CCMP][ESS],2422
NETGEAR05,44:94:fc:3b:e9:d3,[WPA2-PSK-CCMP][WPS][ESS],2442
U+zone,00:40:5a:d3:ae:02,[WPA2-EAP-CCMP][ESS],2437
2WIRE645,00:24:56:a2:b0:19,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2457
MyCharterWiFi6b-2G,6c:b0:ce:45:09:6b,[WPA2-PSK-CCMP][WPS][ESS],2412
2WIRE267,64:0f:28:91:cf:01,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
china moble 6G,ac:5d:10:6b:e4:11,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2432
MyCharterWiFiac-2G,6c:b0:ce:a8:e7:ac,[WPA2-PSK-CCMP][WPS][ESS],2412
MyCharterWiFi9b-2G,c4:04:15:8f:4f:9b,[WPA2-PSK-CCMP][ESS],2457
MyCharterWiFi6b-5G,6c:b0:ce:45:09:6a,[WPA2-PSK-CCMP][WPS][ESS],5765
ST,20:cf:30:87:ef:5f,[WPA2-PSK-TKIP][ESS],2437
2WIRE314,60:c3:97:5f:df:a9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
Daddy's Network,8c:7f:3b:a5:03:80,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
ATT530,94:c1:50:dd:04:5a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
MyCharterWiFi28-2G,6c:b0:ce:a3:bb:28,[WPA2-PSK-CCMP][WPS][ESS],2437
MyCharterWiFic0-5G,6c:b0:ce:a3:d7:bf,[WPA2-PSK-CCMP][WPS][ESS],5765
belkin.637,ec:1a:59:08:96:37,[WPA2-PSK-CCMP][WPS][ESS],2437
DoubleFaster-guest,c8:d7:19:7c:da:e0,[ESS],2412
ATT8h643R5,8c:7f:3b:a4:21:d0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
Home,6c:b0:ce:a7:de:90,[WPA2-PSK-CCMP][WPS][ESS],2462
MyCharterWiFi7e-5G,08:bd:43:ba:50:80,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi32-5G,6c:b0:ce:2e:21:31,[WPA2-PSK-CCMP][WPS][ESS],5765
2WIRE870,74:9d:dc:4c:ed:59,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
PonycornzOnly,04:a1:51:81:60:65,[WPA2-PSK-CCMP][ESS],2442
ATT9c9R495,b0:77:ac:ca:df:d0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
NETGEAR57-5G,04:a1:51:20:fc:35,[WPA2-PSK-CCMP][WPS][ESS],5765
belkin.3ba.media,b4:75:0e:00:73:bc,[WPA2-PSK-CCMP][WPS][ESS],5180
2WIRE711,74:9d:dc:ee:f5:29,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
Belkin.3BEB,94:44:52:6c:ab:eb,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2462
ATT687,28:16:2e:06:9b:ea,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
Boobear,00:1e:2a:6a:1a:26,[WEP][ESS],2462
belkin.3ba.guests,b4:75:0e:00:73:bd,[ESS],2412
<(O.O)>,6c:b0:ce:44:0f:02,[WPA2-PSK-CCMP][WPS][ESS],2412
MyCharterWiFi17-2G,c4:04:15:9d:32:17,[WPA2-PSK-CCMP][WPS][ESS],2422
DIRECT-roku-662-4D1B38,dc:3a:5e:7e:3e:85,[WPA2-PSK-CCMP][WPS][ESS],2462
MyCharterWiFi17-5G,c4:04:15:9d:32:19,[WPA2-PSK-CCMP][WPS][ESS],5765
NETGEAR60-5G,28:c6:8e:ba:f4:12,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFice-2G,c4:04:15:9d:2f:ce,[WPA2-PSK-CCMP][ESS],2447
Wolf Network,00:1f:f3:c4:22:ee,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
ATT627,94:c1:50:0a:b0:52,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
MyCharterWiFicb-2G,6c:b0:ce:a3:d8:cb,[WPA2-PSK-CCMP][WPS][ESS],2412
12AX7EL84,20:aa:4b:bd:dd:59,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
belkin.bee,ec:1a:59:65:fb:ee,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2427
MyCharterWiFi87-2G,6c:b0:ce:44:8a:87,[WPA2-PSK-CCMP][WPS][ESS],2427
You cut me deep - 5G,e6:f4:c6:0e:d7:5a,[WPA2-PSK-CCMP][ESS],5765
MyCharterWiFia5-5G,c4:04:15:a1:13:a7,[WPA2-PSK-CCMP][WPS][ESS],5765
Brownies,5c:d9:98:60:b9:d2,[WPA2-PSK-CCMP][WPS][ESS],2452
NETGEAR44,c4:04:15:b1:8e:d9,[WPA2-PSK-CCMP][WPS][ESS],2437
BOATS AND HOES,08:86:3b:99:58:82,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
belkin.882.guests,0a:86:3b:99:58:83,[WPS][ESS],2412
MyCharterWiFi38-5G,04:a1:51:d8:06:37,[WPA2-PSK-CCMP][WPS][ESS],5765
Smart-WiFi,44:94:fc:61:ac:23,[WPA2-PSK-CCMP][ESS],2447
Linksys10152-guest,9a:fc:11:f3:02:a4,[ESS],2427
NETGEAR52-5G,04:a1:51:96:c8:09,[WPA2-PSK-CCMP][WPS][ESS],5765
Belkin.4B85,94:44:52:64:7b:85,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2442
MyCharterWiFi02-5G,6c:b0:ce:32:70:01,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi03-2G,6c:b0:ce:31:81:03,[WPA2-PSK-CCMP][WPS][ESS],2462
2WIRE813,d0:39:b3:38:c5:30,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
ISABEL-HP_Network,84:1b:5e:f2:fe:be,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
MyCharterWiFiaf-5G,20:0c:c8:25:e4:ae,[WPA2-PSK-CCMP][WPS][ESS],5765
ATT135,60:c3:97:4e:81:b6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
belkin.fd2,08:86:3b:49:7f:d2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2452
B&V,e0:46:9a:5b:1e:83,[WPA2-PSK-CCMP][WPS][ESS],2422
NETGEAR63-5G,04:a1:51:14:dc:3f,[WPA2-PSK-CCMP][WPS][ESS],5785
NETGEAR70-5G,04:a1:51:ab:7a:e5,[WPA2-PSK-CCMP][WPS][ESS],5765
ATT741,60:fe:20:6e:a4:72,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
MyCharterWiFia4-5G,e8:fc:af:9b:90:a3,[WPA2-PSK-CCMP][WPS][ESS],5765
ATT345,94:c1:50:a1:5f:a2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
belkin.55d,b4:75:0e:24:75:5d,[WPA2-PSK-CCMP][WPS][ESS],2462
belkin.55d.guests,b6:75:0e:24:75:5e,[WPS][ESS],2462
EXOnet,08:86:3b:b8:3d:38,[WPA2-PSK-CCMP][WPS][ESS],2462
MyCharterWiFic7-5G,04:a1:51:ba:e4:c9,[WPA2-PSK-CCMP][WPS][ESS],5765
2WIRE734,ac:5d:10:36:d7:e9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2452
360WiFi-9530,a0:88:b4:5b:be:8d,[WPA2-PSK-CCMP][ESS],2437
Tempus Fugit,20:c9:d0:1e:62:39,[WPA2-PSK-CCMP][ESS],2457
VideowebCEML,00:22:b0:b2:1b:b2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2432
Geng's,64:66:b3:9f:fb:d8,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2442
Baboy's,48:f8:b3:49:20:c2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
743west-guest,20:aa:4b:cd:c5:4b,[ESS],2437
DoubleFaster,c8:d7:19:7c:da:df,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
ATT8p9v8d2,8c:7f:3b:a4:d9:20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
NotConnected,e4:f4:c6:ee:64:4a,[WPA2-PSK-CCMP][WPS][ESS],2462
2FLY4AWI-FI,e8:fc:af:82:c8:0e,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.3ba,b4:75:0e:00:73:ba,[WPA2-PSK-CCMP][WPS][ESS],2412
belkin.b24,ec:1a:59:25:4b:24,[WPA2-PSK-CCMP][WPS][ESS],2437
MyCharterWiFib1-5G,e8:fc:af:98:1d:b0,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi79-2G,6c:b0:ce:a2:d5:79,[WPA2-PSK-CCMP][WPS][ESS],2462
ATT491,94:c1:50:da:ed:3a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
Free WiFi.media,ec:1a:59:54:d2:60,[WPA2-PSK-CCMP][WPS][ESS],5180
This could be us,e4:f4:c6:0e:d7:5a,[WPA2-PSK-CCMP][WPS][ESS],2417
MyCharterWiFi99-2G,08:bd:43:c3:2e:99,[WPA2-PSK-CCMP][WPS][ESS],2447
KathmanduNepal,c4:3d:c7:a1:57:30,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2417
Parliament,1c:7e:e5:42:4f:c1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2432
2WIRE989,00:25:3c:64:72:91,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2442
This could be us 5G,e4:f4:c6:0e:d7:59,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFicb-5G,6c:b0:ce:a3:d8:ca,[WPA2-PSK-CCMP][WPS][ESS],5765
B&V-5G,e0:46:9a:5b:1e:85,[WPA2-PSK-CCMP][WPS][ESS],5220
ThreeGirls,20:aa:4b:ba:70:5b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
ASHKANNETWORK,48:f8:b3:72:0a:70,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2452
MadoHomu-guest,48:f8:b3:45:ae:19,[ESS],2462
KrispyKrab,48:f8:b3:8e:65:47,[WPA2-PSK-CCMP][WPS][ESS],2417
HERMOSILLENSE-GUEST,e6:f4:c6:13:61:75,[WPA2-PSK-CCMP][ESS],2462
DELL 4320 WIRELESS,00:12:0e:f8:af:cd,[ESS],2422
NETGEAR97,04:a1:51:b2:b6:0c,[WPA2-PSK-CCMP][WPS][ESS],2462
HP-Print-EE-Deskjet 3510 series,2c:59:e5:cc:1c:ee,[WPA2-PSK-CCMP][ESS],2462
inmotion_F0027,00:80:48:41:28:58,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],2462
HP-Print-5A-ENVY 5530 series,28:92:4a:d0:a1:5a,[WPA2-PSK-CCMP][ESS],2412
MyNetwork Wi-Fi Network,28:cf:e9:83:d8:96,[WPA2-PSK-CCMP][ESS],2437
2WIRE119,60:c3:97:bd:f2:61,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2442
Cisco_96149261,68:ee:96:14:92:61,[WPA2-PSK-CCMP][WPS][ESS],5220
MyCharterWiFia4-2G,e8:fc:af:9b:90:a4,[WPA2-PSK-CCMP][WPS][ESS],2462
belkin.736.media,b4:75:0e:25:87:38,[WPA2-PSK-CCMP][WPS][ESS],5180
Arsenal,b4:75:0e:25:87:36,[WPA2-PSK-CCMP][WPS][ESS],2412
IbanezNetwork,78:96:84:80:73:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
NETGEAR26,10:0d:7f:67:38:92,[WPA2-PSK-CCMP][WPS][ESS],2437
ATT142,94:c1:50:d6:4c:6a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
sage,04:a1:51:14:dc:40,[WPA2-PSK-CCMP][WPS][ESS],2412
TREX,a0:21:b7:bf:7c:24,[WPA2-PSK-CCMP][WPS][ESS],2422
belkin.cc4,ec:1a:59:2a:4c:c4,[WPA2-PSK-CCMP][WPS][ESS],2437
UCPD3,60:fe:20:74:40:2e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
NATALIAS_Network,e0:91:f5:b7:00:01,[WPS][WEP][ESS],2422
belkin.736.guests,b4:75:0e:25:87:39,[ESS],2412
HP-Print-26-LaserJet 1102,7c:e9:d3:8a:6c:26,[ESS],2437
MyCharterWiFiaf-2G,20:0c:c8:25:e4:af,[WPA2-PSK-CCMP][WPS][ESS],2412
belkin.2ec,ec:1a:59:48:02:ec,[WPA2-PSK-CCMP][WPS][ESS],2462
nbalumpia,68:a8:6d:66:be:71,[WPA2-PSK-CCMP][ESS],2412
This is my Wifi,64:e5:99:31:95:d6,[WPA-PSK-CCMP][WPS][ESS],2452
NETGEAR71,28:c6:8e:a3:15:4a,[WPA2-PSK-CCMP][WPS][ESS],2437
2WIRE742,00:21:7c:3d:6d:29,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
FALLATAH,10:0d:7f:5b:2c:39,[WPA2-PSK-CCMP][WPS][ESS],2417
HP-Print-2E-Officejet Pro 8600,2c:59:e5:eb:49:2e,[ESS],2442
MyCharterWiFi5e-2G,04:a1:51:ba:cf:5e,[WPA2-PSK-CCMP][ESS],2447
ReEm,c4:04:15:58:ec:de,[WPA2-PSK-CCMP][WPS][ESS],2462
NETGEAR94,6c:b0:ce:15:1b:16,[WPA2-PSK-CCMP][WPS][ESS],2412
MyCharterWiFi8e-2G,6c:b0:ce:a8:e7:8e,[WPA2-PSK-CCMP][WPS][ESS],2412
2WIRE529,00:24:56:4b:c9:19,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2457
Sibylline,20:4e:7f:7b:2a:db,[WPA2-PSK-CCMP][WPS][ESS],2422
Diaozhatian,48:f8:b3:84:c8:1b,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2437
2WIRE107,00:21:7c:16:da:01,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2452
ATTveqHHCI,94:62:69:08:f6:00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
attwifi,00:1d:70:9c:4a:10,[ESS],2412
Morgans,28:16:2e:e7:48:21,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2457
SAM,c4:39:3a:c9:87:28,[WPA2-PSK-CCMP][ESS],2462
ATT3W564G7,44:e1:37:a6:0d:00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
Mike is fat,c4:04:15:23:dc:68,[WPA2-PSK-CCMP][WPS][ESS],2412
Winterfel,00:25:9c:4a:b9:32,[WPA2-PSK-TKIP][ESS],2437
ATT985,60:c3:97:f5:e0:be,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
MyCharterWiFi9f-2G,6c:b0:ce:44:81:9f,[WPA2-PSK-CCMP][WPS][ESS],2412
