SSID,BSSID,Capabilities,frequency
belkin.660,ec:1a:59:9a:f6:60,[WPA2-PSK-CCMP][WPS][ESS],2442
belkin.e93,ec:1a:59:02:be:93,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2437
MyCharterWiFi93-2G,6c:b0:ce:a7:de:93,[WPA2-PSK-CCMP][WPS][ESS],2462
MyCharterWiFi45-2G,6c:b0:ce:44:84:45,[WPA2-PSK-CCMP][WPS][ESS],2422
Hide yo kids hide yo wifi,84:1b:5e:43:43:9a,[WPA2-PSK-CCMP][WPS][ESS],2457
ATTUZP2PEa,3c:36:e4:f6:2d:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
belkin.660.guests,ec:1a:59:9a:f6:63,[ESS],2442
NETGEAR24,04:a1:51:22:56:13,[WPA2-PSK-CCMP][WPS][ESS],2457
STL,c8:d7:19:60:50:7d,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
SepiaWillow,c8:d7:19:23:d0:a7,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2432
NETGEAR,00:14:6c:9e:e0:ce,[WPA-PSK-TKIP][ESS],2437
NETGEAR64,44:94:fc:56:5d:e2,[WPA2-PSK-CCMP][WPS][ESS],2422
NETGEAR24-5G,04:a1:51:22:56:12,[WPA2-PSK-CCMP][WPS][ESS],5765
NETGEAR40,c4:04:15:1a:9f:cd,[WPA2-PSK-CCMP][WPS][ESS],2442
TIffany Kathy,14:35:8b:11:7b:a4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
RaciallyDiverseArena,b4:75:0e:a2:23:e9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
Togepi,2c:b0:5d:43:11:06,[WPS][WEP][ESS],2437
Cisco35807-guest,ce:d7:19:23:d0:a7,[ESS],2432
STL-guest,c8:d7:19:60:50:7f,[ESS],2412
calypso,90:3e:ab:e7:50:a0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
belkin.090,08:86:3b:d7:70:90,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2457
NETGEAR04,6c:b0:ce:40:60:f7,[WPA2-PSK-CCMP][WPS][ESS],2422
MyCharterWiFi2b,6c:b0:ce:b5:99:2b,[WPA2-PSK-CCMP][WPS][ESS],2462
